Unnamed: 0,index,authors,avg_rating,best_book_id,book_id,books_count,description,genres,goodreads_book_id,language_code,original_publication_year,original_title,num_pages,publishDate,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,ratings_count,small_image_url,title,work_id,work_ratings_count,work_text_reviews_count,authors_2,user_id,rating,rating_bin,main_genre,processed_description,processed_genres
8728.0,5343.0,['[Elaine N. Aron]'],4.65,18337259.0,5344,6.0,"Do you have a keen imagination and vivid dreams? Is time alone each day as essential to you as food and water? Are you ""too shy"" or ""too sensitive"" according to others? Do noise and confusion quickly overwhelm you? If your answers are yes, you may be a Highly Sensitive Person (HSP).Most of us feel overstimulated every once in a while, but for the HSP, it's a way of life. In this groundbreaking book, Dr. Elaine Aron, a clinical psychologist, workshop leader, and an HSP herself, shows you how to identify this trait in yourself and make the most of it in everyday situations. Drawing on her many years of research and hundreds of interviews, she shows how you can better understand yourself and your trait to create a fuller, richer life.","['psychology', 'self-help', 'nonfiction', 'science', 'spirituality', 'philosophy', 'business']",18337259.0,eng,2011.0,A Song of Ice and Fire Graphic Novels,251.0,"('6', '2', '1997')",154.0,190.0,879.0,4215.0,14743.0,18667.0,https://images.gr-assets.com/books/1376738412s/18337259.jpg,"a game of thrones: comic book, issue 1",40783698.0,20181.0,188.0,['[Elaine N. Aron]'],38102.0,5.0,"(4.35, 4.82]",['psychology',keen imagination vivid dreams time alone day essential food water shy sensitive according others noise confusion quickly overwhelm answers yes may highly sensitive person hspmost us feel overstimulated every hsp way life groundbreaking book dr elaine aron clinical psychologist workshop leader hsp shows identify trait make everyday situations drawing many years research hundreds interviews shows better understand trait create fuller richer life,"[""['psychology'"", ""'self-help'"", ""'nonfiction'"", ""'science'"", ""'spirituality'"", ""'philosophy'"", ""'business']""]"
3961.0,3961.0,"['Katie J. Davis', 'Beth Clark']",4.4,11281852.0,4346,15.0,"What would cause an eighteen-year-old old senior class president and homecoming queen from Nashville, Tennessee, to disobey and disappoint her parents by forgoing college, break her little brother’s heart, lose all but a handful of her friends (because the rest of them think she has gone off the deep end), and break up with the love of her life, all so she could move to Uganda, where she knew only one person but didn’t know any of the language? A passion to make a difference. Katie Davis left over Christmas break her senior year for a short mission trip to Uganda and her life was turned completely inside out. She found herself so moved, so broken by the people and the children of Uganda that she knew her calling was to return and care for them. Her story is like Mother Teresa’s in that she has given up everything—at such a young age—to care for the less fortunate of this world. Katie, a charismatic and articulate young woman, has gone on to adopt 14 children during her time in Uganda, and she completely trusts God for daily provision for her and her family, which includes children with special needs. To further her reach into the needs of Ugandans, Katie established Amazima Ministries. The ministry matches orphaned children with sponors worldwide. Each sponsor's $300/year provides schooling, school supplies, three hot meals a day, minor medical care, and spiritual encouragement. Katie expected to have forty children in the program; she had signed up 150 by January 2008; today it sponsors over 400. Another aspect of the ministry is a feeding program created for the displaced Karamojong people—Uganda's poorest citizens. The program feeds lunch to over 1200 children Monday-Friday and sends them home with a plate for food; it also offers basic medical care, Bible study, and general health training.Katie Davis, now 21, is more than fascinating, she's inspiring, as she has wholeheartedly answered the call to serve.","['nonfiction', 'christian', 'biography', 'memoir', 'religion']",11281852.0,eng,2011.0,Ghost World,288.0,October 4th 2011,311.0,598.0,2355.0,5526.0,13270.0,20500.0,https://images.gr-assets.com/books/1306266117s/11281852.jpg,kisses from katie: a story of relentless love and redemption,16209069.0,22060.0,2084.0,"['Katie J. Davis', 'Beth Clark']",37508.0,4.0,"(4.35, 4.82]",['nonfiction',would cause eighteenyearold old senior class president homecoming queen nashville tennessee disobey disappoint parents forgoing college break little brother ’ heart lose handful friends rest think gone deep end break love life could move uganda knew one person ’ know language passion make difference katie davis left christmas break senior year short mission trip uganda life turned completely inside found moved broken people children uganda knew calling return care story like mother teresa ’ given everything—at young age—to care less fortunate world katie charismatic articulate young woman gone adopt 14 children time uganda completely trusts god daily provision family includes children special needs reach needs ugandans katie established amazima ministries ministry matches orphaned children sponors worldwide sponsors 300year provides schooling school supplies three hot meals day minor medical care spiritual encouragement katie expected forty children program signed 150 january 2008 today sponsors 400 another aspect ministry feeding program created displaced karamojong people—ugandas poorest citizens program feeds lunch 1200 children mondayfriday sends home plate food also offers basic medical care bible study general health trainingkatie davis 21 fascinating shes inspiring wholeheartedly answered call serve,"[""['nonfiction'"", ""'christian'"", ""'biography'"", ""'memoir'"", ""'religion']""]"
215.0,215.0,['Augusten Burroughs'],3.7,242006.0,238,79.0,"Running with Scissors is the true story of a boy whose mother (a poet with delusions of Anne Sexton) gave him away to be raised by her unorthodox psychiatrist who bore a striking resemblance to Santa Claus. So at the age of twelve, Burroughs found himself amidst Victorian squalor living with the doctor’s bizarre family, and befriending a pedophile who resided in the backyard shed. The story of an outlaw childhood where rules were unheard of, and the Christmas tree stayed up all year round, where Valium was consumed like candy, and if things got dull an electroshock- therapy machine could provide entertainment. The funny, harrowing and bestselling account of an ordinary boy’s survival under the most extraordinary circumstances.","['memoir', 'nonfiction', 'biography', 'psychology']",242006.0,eng,2002.0,Running with Scissors,304.0,June 1st 2003,13569.0,27249.0,78405.0,105786.0,81379.0,293878.0,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,running with scissors,828773.0,306388.0,11601.0,['Augusten Burroughs'],25485.0,4.0,"(3.41, 3.88]",['memoir',running scissors true story boy whose mother poet delusions anne sexton gave away raised unorthodox psychiatrist bore striking resemblance santa claus age twelve burroughs found amidst victorian squalor living doctor ’ bizarre family befriending pedophile resided backyard shed story outlaw childhood rules unheard christmas tree stayed year round valium consumed like candy things got dull electroshock therapy machine could provide entertainment funny harrowing bestselling account ordinary boy ’ survival extraordinary circumstances,"[""['memoir'"", ""'nonfiction'"", ""'biography'"", ""'psychology']""]"
783.0,783.0,['Stephenie Meyer'],4.03,4502877.0,834,1.0,"The record for the completed novel can be found here. Midnight Sun is the much anticipated retelling of Twilight from Edward Cullen's perspective. An unedited partial draft was illegally leaked onto the internet in 2008; consequently, author Stephenie Meyer put the project on indefinite hold. Shortly afterward, she posted a letter to her fans on her website including a link to the entire partial draft of the book so that those who wanted to read it could do so legally and with her consent. Note: Do not add a cover. Do not add translations. Do not add any other editions. Do not combine with editions of the full work. Do not add this book record to any series.","['young-adult', 'fantasy', 'romance', 'paranormal', 'fiction']",4502877.0,eng,2008.0,Midnight Sun (Partial Draft),264.0,08/28/08,6209.0,9089.0,23237.0,35433.0,64149.0,138118.0,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"midnight sun (twilight, #1.5)",4551869.0,138117.0,9189.0,['Stephenie Meyer'],8019.0,5.0,"(3.88, 4.35]",['young-adult',record completed novel found midnight sun much anticipated retelling twilight edward cullens perspective unedited partial draft illegally leaked onto internet 2008 consequently author stephenie meyer put project indefinite hold shortly afterward posted letter fans website including link entire partial draft book wanted read could legally consent note add cover add translations add editions combine editions full work add book record series,"[""['young-adult'"", ""'fantasy'"", ""'romance'"", ""'paranormal'"", ""'fiction']""]"
9759.0,9272.0,['[Jen Lancaster]'],3.91,7090290.0,9273,8.0,"It's a JENaissance! The New York Times bestselling author of Pretty in Plaid gets her culture on.   Readers have followed Jen Lancaster through job loss, sucky city living, weight loss attempts, and 1980s nostalgia. Now Jen chronicles her efforts to achieve cultural enlightenment, with some hilarious missteps and genuine moments of inspiration along the way. And she does so by any means necessary: reading canonical literature, viewing classic films, attending the opera, researching artisan cheeses, and even enrolling in etiquette classes to improve her social graces.  In Jen's corner is a crack team of experts, including Page Six socialites, gourmet chefs, an opera aficionado, and a master sommelier. She may discover that well-regarded, high-priced stinky cheese tastes exactly as bad as it smells, and that her love for Kraft American Singles is forever. But one thing's for certain: Eliza Doolittle's got nothing on Jen Lancaster-and failure is an option.Watch a Video","['memoir', 'chick-lit', 'nonfiction', 'biography', 'fiction', 'contemporary']",7090290.0,eng,2010.0,Ghost World,384.0,"('5', '4', '2010')",214.0,785.0,2979.0,4377.0,4019.0,11826.0,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"my fair lazy: one reality television addict's attempt to discover if not being a dumb ass is the new black, or, a culture-up manifesto",7346398.0,12374.0,1014.0,['[Jen Lancaster]'],15813.0,5.0,"(3.88, 4.35]",['memoir',jenaissance new york times bestselling author pretty plaid gets culture readers followed jen lancaster job loss sucky city living weight loss attempts 1980s nostalgia jen chronicles efforts achieve cultural enlightenment hilarious missteps genuine moments inspiration along way means necessary reading canonical literature viewing classic films attending opera researching artisan cheeses even enrolling etiquette classes improve social graces jens corner crack team experts including page six socialites gourmet chefs opera aficionado master sommelier may discover wellregarded highpriced stinky cheese tastes exactly bad smells love kraft american singles forever one things certain eliza doolittles got nothing jen lancasterand failure optionwatch video,"[""['memoir'"", ""'chick-lit'"", ""'nonfiction'"", ""'biography'"", ""'fiction'"", ""'contemporary']""]"
4675.0,4675.0,"['Arina Tanemura', 'Tomo Kimura']",4.06,569346.0,5213,12.0,"Mitsuki loves singing, but a malignant tumor in her throat has prevented her from pursuing her passion. However, Mitsuki's life turns around when two shinigami appear to grant her a temporary reprieve from her illness--and give her singing career a magical jump-start.","['manga', 'fantasy', 'romance', 'graphic-novels', 'comics', 'young-adult', 'paranormal']",569346.0,eng,2001.0,満月をさがして 1,208.0,July 5th 2005,751.0,1307.0,3549.0,4359.0,9674.0,19443.0,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"full moon o sagashite, vol. 1",556398.0,19640.0,183.0,"['Arina Tanemura', 'Tomo Kimura']",38430.0,4.0,"(3.88, 4.35]",['manga',mitsuki loves singing malignant tumor throat prevented pursuing passion however mitsukis life turns around two shinigami appear grant temporary reprieve illnessand give singing career magical jumpstart,"[""['manga'"", ""'fantasy'"", ""'romance'"", ""'graphic-novels'"", ""'comics'"", ""'young-adult'"", ""'paranormal']""]"
2203.0,2203.0,"['Richard Bachman', 'Stephen King']",3.63,10596.0,2352,110.0,"There's a place in Wentworth, Ohio, where summer is in full swing. It's called Poplar Street. Up until now it's been a nice place to live. The idling red van around the corner is about to change all that. Let the battle against evil begin. Here come...The Regulators","['horror', 'fiction', 'thriller', 'fantasy', 'suspense', 'science-fiction', 'paranormal']",10596.0,eng,1996.0,The Regulators,512.0,September 1997,1642.0,5634.0,16854.0,15840.0,13293.0,49405.0,https://images.gr-assets.com/books/1364033309s/10596.jpg,the regulators,955346.0,53263.0,903.0,"['Richard Bachman', 'Stephen King']",51262.0,4.0,"(3.41, 3.88]",['horror',theres place wentworth ohio summer full swing called poplar street nice place live idling red van around corner change let battle evil begin comethe regulators,"[""['horror'"", ""'fiction'"", ""'thriller'"", ""'fantasy'"", ""'suspense'"", ""'science-fiction'"", ""'paranormal']""]"
8442.0,3655.0,['[Plum Sykes]'],3.26,381704.0,3656,61.0,"Plum Sykes beguiling debut welcomes readers to the glamorous world of Park Avenue Princesses, the girls who careen through Manhattan in search of the perfect Fake Bake (tan acquired from Portofino Tanning Salon), a ride on a PJ (private jet) with the ATM (rich boyfriend), and the ever-elusive fiance. With invitations to high-profile baby showers and benefits, more Marc Jacobs clothes than is decent, and a department store heiress for a best friend, our heroine known only as Moi is living at the peak of New York society. But what is Moi to do when her engagement falls apart? Can she ever find happiness in a city filled with the distractions of Front Row Girls, dermatologists, premieres, and eyebrow waxes? Is it possible to find love in a town where her friends think that the secret to happiness is getting invited to the Van Cleef and Arpels private sample sale? And how is she going to deal with the endless phone calls from her mother in England demanding that she get married to the Earl next door?With enormous wit and an insider's eye, Sykes captures the nuances of the rich and spoiled in a heartwarming social satire, featuring a loveable ""champagne bubble of a girl"" who's just looking for love (and maybe the perfect pair of Chloe jeans).","['chick-lit', 'fiction', 'romance', 'contemporary', 'young-adult', 'books']",381704.0,eng,2004.0,Bergdorf Blondes,320.0,"('5', '4', '2005')",2020.0,4428.0,8669.0,6144.0,4561.0,23795.0,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,bergdorf blondes,98.0,25822.0,1267.0,['[Plum Sykes]'],358.0,1.0,"(2.94, 3.41]",['chick-lit',plum sykes beguiling debut welcomes readers glamorous world park avenue princesses girls careen manhattan search perfect fake bake tan acquired portofino tanning salon ride pj private jet atm rich boyfriend everelusive fiance invitations highprofile baby showers benefits marc jacobs clothes decent department store heiress best friend heroine known moi living peak new york society moi engagement falls apart ever find happiness city filled distractions front row girls dermatologists premieres eyebrow waxes possible find love town friends think secret happiness getting invited van cleef arpels private sample sale going deal endless phone calls mother england demanding get married earl next doorwith enormous wit insiders eye sykes captures nuances rich spoiled heartwarming social satire featuring loveable champagne bubble girl whos looking love maybe perfect pair chloe jeans,"[""['chick-lit'"", ""'fiction'"", ""'romance'"", ""'contemporary'"", ""'young-adult'"", ""'books']""]"
4359.0,4359.0,['S.K. Tremayne'],3.68,23553419.0,4840,53.0,"A year after one of their identical twin daughters, Lydia, dies in an accident, Angus and Sarah Moorcraft move to the tiny Scottish island Angus inherited from his grandmother, hoping to put together the pieces of their shattered lives.But when their surviving daughter, Kirstie, claims they have mistaken her identity—that she, in fact, is Lydia—their world comes crashing down once again.As winter encroaches, Angus is forced to travel away from the island for work, Sarah is feeling isolated, and Kirstie (or is it Lydia?) is growing more disturbed. When a violent storm leaves Sarah and her daughter stranded, Sarah finds herself tortured by the past—what really happened on that fateful day one of her daughters died?","['thriller', 'mystery', 'fiction', 'horror', 'suspense', 'crime']",23553419.0,eng,2015.0,The Ice Twins,373.0,January 29th 2015,682.0,2138.0,6540.0,8485.0,5383.0,16718.0,https://images.gr-assets.com/books/1415872674s/23553419.jpg,the ice twins,42439923.0,23228.0,3015.0,['S.K. Tremayne'],48684.0,4.0,"(3.41, 3.88]",['thriller',year one identical twin daughters lydia dies accident angus sarah moorcraft move tiny scottish island angus inherited grandmother hoping put together pieces shattered livesbut surviving daughter kirstie claims mistaken identity—that fact lydia—their world comes crashing againas winter encroaches angus forced travel away island work sarah feeling isolated kirstie lydia growing disturbed violent storm leaves sarah daughter stranded sarah finds tortured past—what really happened fateful day one daughters died,"[""['thriller'"", ""'mystery'"", ""'fiction'"", ""'horror'"", ""'suspense'"", ""'crime']""]"
541.0,541.0,"['Tsugumi Ohba', 'Takeshi Obata']",4.42,13615.0,585,44.0,"Light Yagami is an ace student with great prospects - and he's bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami, a death god. Any human whose name is written in the notebook dies, and now Light has vowed to use the power of the Death Note to rid the world of evil. But when criminals begin dropping dead, the authorities send the legendary detective L to track down the killer. With L hot on his heels, will Light lose sight of his noble goal... or his life?BoredomLight tests the boundaries of the Death Note's powers as L and the police begin to close in. Luckily, Light's father is the head of the Japanese National Police Agency and leaves vital information about the case lying around the house. With access to his father's files, Light can keep one step ahead of the authorities. But who is the strange man following him, and how can Light guard against enemies whose names he doesn't know?","['manga', 'graphic-novels', 'comics', 'fantasy', 'horror', 'fiction', 'mystery', 'young-adult', 'thriller']",13615.0,eng,2004.0,デスノート #1 (Desu Nōto) Taikutsu (退屈),195.0,October 10th 2005,2040.0,3448.0,14453.0,34728.0,86426.0,139501.0,https://images.gr-assets.com/books/1419952134s/13615.jpg,"death note, vol. 1: boredom (death note, #1)",1782155.0,141095.0,2470.0,"['Tsugumi Ohba', 'Takeshi Obata']",31325.0,2.0,"(4.35, 4.82]",['manga',light yagami ace student great prospects hes bored mind changes finds death note notebook dropped rogue shinigami death god human whose name written notebook dies light vowed use power death note rid world evil criminals begin dropping dead authorities send legendary detective l track killer l hot heels light lose sight noble goal lifeboredomlight tests boundaries death notes powers l police begin close luckily lights father head japanese national police agency leaves vital information case lying around house access fathers files light keep one step ahead authorities strange man following light guard enemies whose names doesnt know,"[""['manga'"", ""'graphic-novels'"", ""'comics'"", ""'fantasy'"", ""'horror'"", ""'fiction'"", ""'mystery'"", ""'young-adult'"", ""'thriller']""]"
